prod_name,spec_list,review_score,review_count,lowest_price,prod_img
알파스캔 AOC 27B36 보더리스 IPS 100 시력보호 무결점,"68.6cm(27인치) / 1920 x 1080(FHD) / 100Hz / AH-IPS / 와이드(16:9) / 평면 / 1ms(MPRT) / 300cd / 1,500:1 / 틸트(상하) / 베사홀 : 100 x 100mm / 3.4kg / [색상영역] sRGB : 104% / Adobe RGB : 89% / DCI-P3 : 83% / NTSC : 91% / [게임특화] 조준선 표시 / 블랙 이퀄라이저 / Adaptive Sync / FreeSync / [단자정보] HDMI / D-SUB",4.8,33,153520,https://img.danawa.com/prod_img/500000/194/300/img/72300194_1.jpg?shrink=130:130&_v=20250423163056
앱코 LPC34Q165D 프라임 나노IPS BLACK UWQHD HDR 블랙 무결점,"86.36cm(34인치) / 3440 x 1440(Ultra WQHD) / 165Hz / Nano-IPS Black / 울트라와이드(21:9) / 커브드 / 1900R / 1ms(MPRT) / 400cd / 2,000:1 / 스피커 / 헤드폰 아웃 / LED 조명 / 엘리베이션(높낮이) / 틸트(상하) / 스위블(좌우) / 베사홀 : 100 x 100mm / 6.8kg / [색상영역] sRGB : 140% / DCI-P3 : 98% / [게임특화] 조준선 표시 / Adaptive Sync / FreeSync / [단자정보] HDMI 2.0 / DP 1.4",4.5,2,299000,https://img.danawa.com/prod_img/500000/374/277/img/71277374_1.jpg?shrink=130:130&_v=20250730164741
크로스오버 279QA9 Fast-iPS 180 WQHD 게이밍 무결점,"68.6cm(27인치) / 2560 x 1440(QHD) / 180Hz / Fast IPS / 와이드(16:9) / 평면 / 1ms(OD) / 400cd / 1,000:1 / 스피커 / 헤드폰 아웃 / 틸트(상하) / 베사홀 : 75 x 75mm / 4.74kg / [색상영역] sRGB : 147% / Adobe RGB : 101% / DCI-P3 : 104% / [게임특화] 조준선 표시 / 블랙 이퀄라이저 / Adaptive Sync / G-Sync 호환 / FreeSync / [단자정보] HDMI 2.0 / DP 1.4",4.7,135,219130,https://img.danawa.com/prod_img/500000/848/478/img/20478848_1.jpg?shrink=130:130&_v=20250514141007
크로스오버 27QD166CM QHD iPS USB-C 화이트 Ai 멀티스탠드,"68.5cm(27인치) / 2560 x 1440(QHD) / 100Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 350cd / 1,000:1 / 스피커 / 헤드폰 아웃 / USB PD 지원 / 피벗(회전) / 엘리베이션(높낮이) / 틸트(상하) / 스위블(좌우) / 베사홀 : 100 x 100mm / 5.1kg / [색상영역] sRGB : 128% / Adobe RGB : 88% / DCI-P3 : 90% / [게임특화] 블랙 이퀄라이저 / Adaptive Sync / G-Sync 호환 / FreeSync / [단자정보] HDMI 2.0 / DP 1.4 / USB C타입 / PD충전: 최대15W",5.0,11,178690,https://img.danawa.com/prod_img/500000/663/890/img/90890663_1.jpg?shrink=130:130&_v=20250710133016
필립스 에브니아 27M2N5500 QHD 180 프리싱크 HDR 400 게이밍 무결점,"68.5cm(27인치) / 2560 x 1440(QHD) / 180Hz / Fast IPS / 와이드(16:9) / 평면 / 1ms(GTG) / 450cd / 1,200:1 / VESA HDR 400 / 헤드폰 아웃 / 피벗(회전) / 엘리베이션(높낮이) / 틸트(상하) / 스위블(좌우) / 베사홀 : 100 x 100mm / 5.68kg / [색상영역] 10bit (8bit + FRC) / sRGB : 133% / Adobe RGB : 111% / DCI-P3 : 104% / NTSC : 113% / [게임특화] 조준선 표시 / 인풋랙 제어 / 블랙 이퀄라이저 / Adaptive Sync / G-Sync 호환(NVIDIA인증) / FreeSync / [단자정보] HDMI 2.0 / DP 1.4",4.9,290,294520,https://img.danawa.com/new/noData/img/noImg_160.gif
삼성전자 S27B610 S61B IPS 멀티스탠드,"68.4cm(27인치) / 2560 x 1440(QHD) / 75Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 300cd / 1,000:1 / 피벗(회전) / 엘리베이션(높낮이) / 틸트(상하) / 스위블(좌우) / 베사홀 : 100 x 100mm / 5.4kg / [색상영역] sRGB : 99% / [게임특화] FreeSync / [단자정보] HDMI / DP",4.8,312,246290,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 울트라기어 27GS85Q,"68.4cm(27인치) / 2560 x 1440(QHD) / 200Hz / Nano-IPS / 와이드(16:9) / 평면 / 1ms(GTG) / 400cd / 1,000:1 / HDR10 / VESA HDR 400 / 헤드폰 아웃 / 피벗(회전) / 엘리베이션(높낮이) / 틸트(상하) / 베사홀 : 100 x 100mm / 6.2kg / [색상영역] DCI-P3 : 98% / [게임특화] 조준선 표시 / 인풋랙 제어 / 블랙 이퀄라이저 / Adaptive Sync / G-Sync 호환(NVIDIA인증) / FreeSync / [단자정보] HDMI 2.0 / DP 1.4",4.9,889,477990,https://img.danawa.com/new/noData/img/noImg_160.gif
알파스캔 3425Q 울트라와이드 WQHD IPS BLACK 120 USB-C HDR 무결점,"86.7cm(34인치) / 3440 x 1440(Ultra WQHD) / 120Hz / IPS Black / 울트라와이드(21:9) / 커브드 / 1900R / 5ms(GTG) / 300cd / 2,000:1 / HDR10 / 스피커 / 헤드폰 아웃 / LED 조명 / USB PD 지원 / 엘리베이션(높낮이) / 틸트(상하) / 스위블(좌우) / 베사홀 : 100 x 100mm / 8.35kg / [색상영역] sRGB : 130% / DCI-P3 : 98% / NTSC : 95% / [게임특화] 조준선 표시 / 블랙 이퀄라이저 / Adaptive Sync / G-Sync 호환 / FreeSync / [단자정보] HDMI 2.1 / DP 1.4 / USB C타입 / PD충전: 최대15W",4.9,11,379000,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 27MR400,"68.6cm(27인치) / 1920 x 1080(FHD) / 100Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 250cd / 1,300:1 / 헤드폰 아웃 / 틸트(상하) / 베사홀 : 100 x 100mm / 3.9kg / [색상영역] sRGB : 99% / [게임특화] 인풋랙 제어 / 블랙 이퀄라이저 / FreeSync / [단자정보] HDMI / D-SUB",4.8,1044,165000,https://img.danawa.com/new/noData/img/noImg_160.gif
알파스캔 AOC U32G4 게이밍 320 듀얼 모드 4K UHD HDR 400 무결점,"80.1cm(32인치) / 3840 x 2160(4K UHD) / 160Hz / Fast IPS / 와이드(16:9) / 평면 / 0.3ms(MPRT) / 450cd / 1,000:1 / HDR10 / VESA HDR 400 / 헤드폰 아웃 / 피벗(회전) / 엘리베이션(높낮이) / 틸트(상하) / 스위블(좌우) / 베사홀 : 100 x 100mm / 8.22kg / [색상영역] 10bit (8bit + FRC) / sRGB : 119% / Adobe RGB : 102% / DCI-P3 : 95% / NTSC : 104% / [게임특화] 조준선 표시 / 인풋랙 제어 / 블랙 이퀄라이저 / 듀얼 모드 : 4K160Hz ↔ FHD 320Hz / Adaptive Sync / G-Sync 호환 / FreeSync / [단자정보] HDMI 2.1 / DP 1.4",0.0,0,599000,https://img.danawa.com/new/noData/img/noImg_160.gif
