prod_name,spec_list,review_score,review_count,lowest_price,prod_img
MSI GF시리즈 Sword GF76 B13VFK,노트북 / 43.9cm(17.3인치) / 2.6kg / OS미포함(프리도스) / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 250nit / 주사율 : 144Hz / [CPU] 인텔 / 코어i7-13세대 / i7-13620H (2.4GHz) / [그래픽] 외장그래픽 / RTX4060 / TGP : 105W / [구성] 램 : 16GB / 램 교체 : 가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : DC / 배터리 : 53.5Wh / 용도 : 게임용,4.9,419,1268000,https://img.danawa.com/prod_img/500000/476/074/img/19074476_1.jpg?shrink=130:130&_v=20250729153017
삼성전자 갤럭시북5 프로 NT940XHA-K51A,"AI노트북 / 35.6cm(14인치) / 1.23kg / 최대 21시간 / 윈도우11홈 / [화면] 해상도 : 2880x1800(WQXGA+) / 밝기 : 400nit / 주사율 : 120Hz / [CPU] 인텔 / 코어 울트라5(S2) / 226V (4.5GHz) / NPU : 40TOPS / [그래픽] 내장그래픽 / Arc 130V / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 63Wh / 용도 : 사무/인강용 , 휴대용",4.9,627,1640000,https://img.danawa.com/prod_img/500000/713/614/img/73614713_1.jpg?shrink=130:130&_v=20250820122547
LG전자 울트라PC 15U50T-GA5HK,노트북 / 39.6cm(15.6인치) / 1.7kg / 윈도우11홈 / [화면] 해상도 : 1920x1080(FHD) / [CPU] 인텔 / 코어i5-13세대 / i5-1334U (1.3GHz) / [그래픽] 내장그래픽 / UHD Graphics / [구성] 램 : 16GB / 램 교체 : 가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 51Wh / 용도 : 사무/인강용,4.8,74,631930,https://img.danawa.com/prod_img/500000/374/335/img/70335374_1.jpg?shrink=130:130&_v=20250326150806
삼성전자 갤럭시북4 NT750XGR-A51A WIN11,노트북 / 39.6cm(15.6인치) / 1.55kg / 윈도우11(설치) / [화면] 해상도 : 1920x1080(FHD) / [CPU] 인텔 / 코어i5-13세대 / i5-1335U (1.3GHz) / [그래픽] 내장그래픽 / Iris Xe / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 54Wh / 용도 : 사무/인강용,4.8,104,797580,https://img.danawa.com/prod_img/500000/513/762/img/44762513_1.jpg?shrink=130:130&_v=20250326145229
삼성전자 갤럭시북5 프로 NT940XHA-KD72G,"AI노트북 / 35.6cm(14인치) / 1.23kg / 최대 21시간 / 윈도우11홈 / [화면] 해상도 : 2880x1800(WQXGA+) / 밝기 : 400nit / 주사율 : 120Hz / [CPU] 인텔 / 코어 울트라7(S2) / 258V (4.8GHz) / NPU : 47TOPS / [그래픽] 내장그래픽 / Arc 140V / 8core / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 1TB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 63Wh / 용도 : 사무/인강용 , 휴대용",5.0,1,2339980,https://img.danawa.com/new/noData/img/noImg_160.gif
LG전자 2025 그램14 14Z90T-GA5HK,"노트북 / 35.5cm(14인치) / 1.12kg / 윈도우11홈 / [화면] 해상도 : 1920x1200(WUXGA) / 밝기 : 350nit / [CPU] 인텔 / 코어 울트라5(S2) / 225H (4.9GHz) / NPU : 13TOPS / [그래픽] 내장그래픽 / Arc 130T / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 72Wh / 용도 : 사무/인강용 , 휴대용",4.9,56,1319010,https://img.danawa.com/new/noData/img/noImg_160.gif
에이서 프레데터 헬리오스 네오 16 AI PHN16-73-9797,"노트북 / 40.6cm(16인치) / 2.45kg / 최대 6.5시간 / OS미포함(프리도스) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 500nit / 주사율 : 240Hz / [CPU] 인텔 / 코어 울트라9(S2) / 275HX (5.4GHz) / NPU : 13TOPS / [그래픽] 외장그래픽 / RTX5070 Ti / TGP : 140W / [구성] 램 : 32GB / 램 교체 : 가능 / 용량 : 1TB / 저장 슬롯 : 2개 / 전원 : USB-PD(+DC) / 배터리 : 90Wh / 용도 : 게임용 , 그래픽작업용",0.0,0,2848000,https://img.danawa.com/new/noData/img/noImg_160.gif
삼성전자 갤럭시북4 NT750XGR-A51A,노트북 / 39.6cm(15.6인치) / 1.55kg / OS미포함(프리도스) / [화면] 해상도 : 1920x1080(FHD) / [CPU] 인텔 / 코어i5-13세대 / i5-1335U (1.3GHz) / [그래픽] 내장그래픽 / Iris Xe / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 54Wh / 용도 : 사무/인강용,4.9,6839,755000,https://img.danawa.com/new/noData/img/noImg_160.gif
ASUS TUF Gaming F16 FX608JMR-QT040,"노트북 / 40.6cm(16인치) / 2.2kg / OS미포함(프리도스) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 165Hz / [CPU] 인텔 / 코어i7-14세대 / i7-14650HX (5.2GHz) / [그래픽] 외장그래픽 / RTX5060 / TGP : 115W / [구성] 램 : 16GB / 램 교체 : 가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD(+DC) / 배터리 : 90Wh / 용도 : 게임용 , 그래픽작업용",5.0,21,1773000,https://img.danawa.com/new/noData/img/noImg_160.gif
에이서 스위프트 16 AI SF16-51-70J2,"AI노트북 / 40.64cm(16인치) / 1.46kg / 최대 20시간 / 윈도우11홈 / [화면] 해상도 : 2880x1800(WQXGA+) / 밝기 : 400nit / 주사율 : 120Hz / [CPU] 인텔 / 코어 울트라7(S2) / 258V (4.8GHz) / NPU : 47TOPS / [그래픽] 내장그래픽 / Arc 140V / 8core / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 70Wh / 용도 : 사무/인강용 , 휴대용",4.7,47,1598000,https://img.danawa.com/new/noData/img/noImg_160.gif
