"id","category","prod_name","spec_list","review_score","review_count","lowest_price","prod_img","created_at"
70,desktop,영웅컴퓨터 영웅 게이밍울트라 7857 R7 7800X3D RTX5070,"7800X3D / RTX 5070 / (AMD) B650 / OS미포함 / 800W / AMD / 라이젠 7000시리즈 / 라이젠7 / 라파엘 / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 12GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",5.0,3,1788810,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
61,desktop,마이피씨샵 DIY 게이밍 마스터 7500F RTX5060,"7500F / RTX 5060 / (AMD) A620 / OS미포함 / 600W / AMD / 라이젠 7000시리즈 / 라이젠5 / 라파엘 / DDR5 / 16GB / M.2 / 500GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",4.9,17,976990,https://img.danawa.com/prod_img/500000/278/160/img/62160278_1.jpg?shrink=130:130&_v=20250901091729,2025-09-15 08:35:38.788
62,desktop,포유컴퓨터 퍼포먼스PC 47 R5 7500F RTX5060Ti,"7500F / RTX 5060 Ti / (AMD) B650 / OS미포함 / 700W / AMD / 라이젠 7000시리즈 / 라이젠5 / 라파엘 / DDR5 / 16GB / M.2 / 500GB / NVIDIA / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",4.7,14,1175180,https://img.danawa.com/prod_img/500000/177/558/img/26558177_1.jpg?shrink=130:130&_v=20250624101930,2025-09-15 08:35:38.788
63,desktop,영웅컴퓨터 영웅 875 게이밍울트라560X R5 5600 RTX5060,"5600 / RTX 5060 / (AMD) B550 / OS미포함 / 600W / AMD / 라이젠 5000시리즈 / 라이젠5 / 버미어 / DDR4 / 16GB / M.2 / 256GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / LED쿨러 / 용도 : 게임용",4.8,202,806150,https://img.danawa.com/prod_img/500000/484/546/img/13546484_1.jpg?shrink=130:130&_v=20250730073304,2025-09-15 08:35:38.788
64,desktop,영웅컴퓨터 영웅 게이밍울트라 7546GT R5 7500F RTX5060Ti,"7500F / RTX 5060 Ti / (AMD) A620 / OS미포함 / 600W / AMD / 라이젠 7000시리즈 / 라이젠5 / 라파엘 / DDR5 / 16GB / M.2 / 512GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",5.0,5,1086580,https://img.danawa.com/prod_img/500000/390/314/img/45314390_1.jpg?shrink=130:130&_v=20250903142940,2025-09-15 08:35:38.788
65,desktop,피씨스토어 베스트 게이밍 R5 5600 RTX3050,"5600 / RTX 3050 / (AMD) A520 / OS미포함 / 600W / AMD / 라이젠 5000시리즈 / 라이젠5 / 버미어 / DDR4 / 16GB / M.2 / 500GB / NVIDIA / 그래픽 메모리 : 6GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",0.0,0,688160,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
66,desktop,모맨 겜덕피시 게이밍 i5-14400F RTX5060,i5-14400F / RTX 5060 / (인텔) B760 / OS미포함 / 600W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용,0.0,0,1303990,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
67,desktop,피씨스토어 베스트 게이밍 i5 13400F RTX5060,i5-13400F / RTX 5060 / (인텔) H610 / OS미포함 / 700W / 인텔 / 코어 13세대 / 코어i5 / 랩터레이크 / DDR5 / 16GB / M.2 / 500GB / NVIDIA / 그래픽 메모리 : 8GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / LED쿨러 / 용도 : 게임용,5.0,5,989120,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
529,desktop,STCOM STAI-V70,i5-14400F / RX 580 / (인텔) H610 / OS미포함 / 600W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR4 / 32GB / M.2 / 1TB / AMD / 1Gbps 유선 / 파워서플라이 / 미들타워 / 용도 : 게임용,5.0,5,632270,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 10:41:26.161
71,desktop,영웅컴퓨터 영웅 울트라게이밍 9800TS R7 9800X3D RTX5070Ti,"9800X3D / RTX 5070 Ti / (AMD) B650 / OS미포함 / 800W / AMD / 라이젠 9000시리즈 / 라이젠7 / 그래니트 릿지 / DDR5 / 32GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 16GB / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용",0.0,0,2545120,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
